filename,algorithm,,population,stepSize,time,memory,generation
gosperglidergun.rle,hashlife,,181,2,3.475,22061432,784
gosperglidergun.rle,hashlife,,181,2,3.48,22919592,786
gosperglidergun.rle,hashlife,,191,2,4.815,13703696,788
gosperglidergun.rle,hashlife,,178,2,2.66,14307056,790
gosperglidergun.rle,hashlife,,184,2,2.7,14919776,792
gosperglidergun.rle,hashlife,,186,2,2.795,15556408,794
gosperglidergun.rle,hashlife,,174,2,2.84,16212864,796
gosperglidergun.rle,hashlife,,183,2,2.89,16890984,798
gosperglidergun.rle,hashlife,,184,2,5.755,18610488,800
gosperglidergun.rle,hashlife,,179,2,3.555,19571064,802
gosperglidergun.rle,hashlife,,173,2,3.405,20389944,804
gosperglidergun.rle,hashlife,,177,2,3.355,21175736,806
gosperglidergun.rle,hashlife,,180,2,3.205,21913112,808
gosperglidergun.rle,hashlife,,171,2,3.105,22621408,810
gosperglidergun.rle,hashlife,,178,2,3.175,23356392,812
gosperglidergun.rle,hashlife,,186,2,3.215,24098808,814
gosperglidergun.rle,hashlife,,186,2,3.365,25240488,816
gosperglidergun.rle,hashlife,,196,2,3.39,15152976,818
gosperglidergun.rle,hashlife,,183,2,3.365,15959640,820
gosperglidergun.rle,hashlife,,189,2,3.43,16789944,822
gosperglidergun.rle,hashlife,,191,2,3.58,17668184,824
gosperglidergun.rle,hashlife,,179,2,3.66,18586752,826
gosperglidergun.rle,hashlife,,188,2,3.57,19474032,828
gosperglidergun.rle,hashlife,,189,2,2.74,20081256,830
gosperglidergun.rle,hashlife,,184,2,2.735,20690208,832
gosperglidergun.rle,hashlife,,178,2,2.795,21319920,834
gosperglidergun.rle,hashlife,,182,2,2.885,21971192,836
gosperglidergun.rle,hashlife,,185,2,2.97,22658168,838
gosperglidergun.rle,hashlife,,176,2,5.81,24381280,840
gosperglidergun.rle,hashlife,,183,2,3.395,25272152,842
gosperglidergun.rle,hashlife,,191,2,4.73,27068480,844
gosperglidergun.rle,hashlife,,191,2,3.165,27811184,846
gosperglidergun.rle,hashlife,,201,2,3.24,17205208,848
gosperglidergun.rle,hashlife,,188,2,3.165,17954136,850
gosperglidergun.rle,hashlife,,194,2,3.215,18720208,852
gosperglidergun.rle,hashlife,,196,2,3.485,19537632,854
gosperglidergun.rle,hashlife,,184,2,3.525,20763784,856
gosperglidergun.rle,hashlife,,193,2,3.325,21571672,858
gosperglidergun.rle,hashlife,,194,2,3.5,22422600,860
gosperglidergun.rle,hashlife,,189,2,3.505,10206840,862
